index,name,lr,wd,dim,tgn
0,c000_lr5em05_wd0p01_dim100_tgn100_seed0,5e-05,0.01,100,100
1,c001_lr2em05_wd0p001_dim64_tgn64_seed0,2e-05,0.001,64,64
2,c002_lr2em05_wd0p001_dim64_tgn100_seed0,2e-05,0.001,64,100
3,c003_lr2em05_wd0p001_dim64_tgn128_seed0,2e-05,0.001,64,128
4,c004_lr2em05_wd0p001_dim100_tgn64_seed0,2e-05,0.001,100,64
5,c005_lr2em05_wd0p001_dim100_tgn100_seed0,2e-05,0.001,100,100
6,c006_lr2em05_wd0p001_dim100_tgn128_seed0,2e-05,0.001,100,128
7,c007_lr2em05_wd0p001_dim128_tgn64_seed0,2e-05,0.001,128,64
8,c008_lr2em05_wd0p001_dim128_tgn100_seed0,2e-05,0.001,128,100
9,c009_lr2em05_wd0p001_dim128_tgn128_seed0,2e-05,0.001,128,128
10,c010_lr2em05_wd0p01_dim64_tgn64_seed0,2e-05,0.01,64,64
11,c011_lr2em05_wd0p01_dim64_tgn100_seed0,2e-05,0.01,64,100
12,c012_lr2em05_wd0p01_dim64_tgn128_seed0,2e-05,0.01,64,128
13,c013_lr2em05_wd0p01_dim100_tgn64_seed0,2e-05,0.01,100,64
14,c014_lr2em05_wd0p01_dim100_tgn100_seed0,2e-05,0.01,100,100
15,c015_lr2em05_wd0p01_dim100_tgn128_seed0,2e-05,0.01,100,128
16,c016_lr2em05_wd0p01_dim128_tgn64_seed0,2e-05,0.01,128,64
17,c017_lr2em05_wd0p01_dim128_tgn100_seed0,2e-05,0.01,128,100
18,c018_lr2em05_wd0p01_dim128_tgn128_seed0,2e-05,0.01,128,128
19,c019_lr2em05_wd0p1_dim64_tgn64_seed0,2e-05,0.1,64,64
20,c020_lr2em05_wd0p1_dim64_tgn100_seed0,2e-05,0.1,64,100
21,c021_lr2em05_wd0p1_dim64_tgn128_seed0,2e-05,0.1,64,128
22,c022_lr2em05_wd0p1_dim100_tgn64_seed0,2e-05,0.1,100,64
23,c023_lr2em05_wd0p1_dim100_tgn100_seed0,2e-05,0.1,100,100
24,c024_lr2em05_wd0p1_dim100_tgn128_seed0,2e-05,0.1,100,128
25,c025_lr2em05_wd0p1_dim128_tgn64_seed0,2e-05,0.1,128,64
26,c026_lr2em05_wd0p1_dim128_tgn100_seed0,2e-05,0.1,128,100
27,c027_lr2em05_wd0p1_dim128_tgn128_seed0,2e-05,0.1,128,128
28,c028_lr5em05_wd0p001_dim64_tgn64_seed0,5e-05,0.001,64,64
29,c029_lr5em05_wd0p001_dim64_tgn100_seed0,5e-05,0.001,64,100
30,c030_lr5em05_wd0p001_dim64_tgn128_seed0,5e-05,0.001,64,128
31,c031_lr5em05_wd0p001_dim100_tgn64_seed0,5e-05,0.001,100,64
32,c032_lr5em05_wd0p001_dim100_tgn100_seed0,5e-05,0.001,100,100
33,c033_lr5em05_wd0p001_dim100_tgn128_seed0,5e-05,0.001,100,128
34,c034_lr5em05_wd0p001_dim128_tgn64_seed0,5e-05,0.001,128,64
35,c035_lr5em05_wd0p001_dim128_tgn100_seed0,5e-05,0.001,128,100
36,c036_lr5em05_wd0p001_dim128_tgn128_seed0,5e-05,0.001,128,128
37,c037_lr5em05_wd0p01_dim64_tgn64_seed0,5e-05,0.01,64,64
38,c038_lr5em05_wd0p01_dim64_tgn100_seed0,5e-05,0.01,64,100
39,c039_lr5em05_wd0p01_dim64_tgn128_seed0,5e-05,0.01,64,128
40,c040_lr5em05_wd0p01_dim100_tgn64_seed0,5e-05,0.01,100,64
41,c041_lr5em05_wd0p01_dim100_tgn128_seed0,5e-05,0.01,100,128
42,c042_lr5em05_wd0p01_dim128_tgn64_seed0,5e-05,0.01,128,64
43,c043_lr5em05_wd0p01_dim128_tgn100_seed0,5e-05,0.01,128,100
44,c044_lr5em05_wd0p01_dim128_tgn128_seed0,5e-05,0.01,128,128
45,c045_lr5em05_wd0p1_dim64_tgn64_seed0,5e-05,0.1,64,64
46,c046_lr5em05_wd0p1_dim64_tgn100_seed0,5e-05,0.1,64,100
47,c047_lr5em05_wd0p1_dim64_tgn128_seed0,5e-05,0.1,64,128
48,c048_lr5em05_wd0p1_dim100_tgn64_seed0,5e-05,0.1,100,64
49,c049_lr5em05_wd0p1_dim100_tgn100_seed0,5e-05,0.1,100,100
50,c050_lr5em05_wd0p1_dim100_tgn128_seed0,5e-05,0.1,100,128
51,c051_lr5em05_wd0p1_dim128_tgn64_seed0,5e-05,0.1,128,64
52,c052_lr5em05_wd0p1_dim128_tgn100_seed0,5e-05,0.1,128,100
53,c053_lr5em05_wd0p1_dim128_tgn128_seed0,5e-05,0.1,128,128
54,c054_lr0p0001_wd0p001_dim64_tgn64_seed0,0.0001,0.001,64,64
55,c055_lr0p0001_wd0p001_dim64_tgn100_seed0,0.0001,0.001,64,100
56,c056_lr0p0001_wd0p001_dim64_tgn128_seed0,0.0001,0.001,64,128
57,c057_lr0p0001_wd0p001_dim100_tgn64_seed0,0.0001,0.001,100,64
58,c058_lr0p0001_wd0p001_dim100_tgn100_seed0,0.0001,0.001,100,100
59,c059_lr0p0001_wd0p001_dim100_tgn128_seed0,0.0001,0.001,100,128
60,c060_lr0p0001_wd0p001_dim128_tgn64_seed0,0.0001,0.001,128,64
61,c061_lr0p0001_wd0p001_dim128_tgn100_seed0,0.0001,0.001,128,100
62,c062_lr0p0001_wd0p001_dim128_tgn128_seed0,0.0001,0.001,128,128
63,c063_lr0p0001_wd0p01_dim64_tgn64_seed0,0.0001,0.01,64,64
64,c064_lr0p0001_wd0p01_dim64_tgn100_seed0,0.0001,0.01,64,100
65,c065_lr0p0001_wd0p01_dim64_tgn128_seed0,0.0001,0.01,64,128
66,c066_lr0p0001_wd0p01_dim100_tgn64_seed0,0.0001,0.01,100,64
67,c067_lr0p0001_wd0p01_dim100_tgn100_seed0,0.0001,0.01,100,100
68,c068_lr0p0001_wd0p01_dim100_tgn128_seed0,0.0001,0.01,100,128
69,c069_lr0p0001_wd0p01_dim128_tgn64_seed0,0.0001,0.01,128,64
70,c070_lr0p0001_wd0p01_dim128_tgn100_seed0,0.0001,0.01,128,100
71,c071_lr0p0001_wd0p01_dim128_tgn128_seed0,0.0001,0.01,128,128
72,c072_lr0p0001_wd0p1_dim64_tgn64_seed0,0.0001,0.1,64,64
73,c073_lr0p0001_wd0p1_dim64_tgn100_seed0,0.0001,0.1,64,100
74,c074_lr0p0001_wd0p1_dim64_tgn128_seed0,0.0001,0.1,64,128
75,c075_lr0p0001_wd0p1_dim100_tgn64_seed0,0.0001,0.1,100,64
76,c076_lr0p0001_wd0p1_dim100_tgn100_seed0,0.0001,0.1,100,100
77,c077_lr0p0001_wd0p1_dim100_tgn128_seed0,0.0001,0.1,100,128
78,c078_lr0p0001_wd0p1_dim128_tgn64_seed0,0.0001,0.1,128,64
79,c079_lr0p0001_wd0p1_dim128_tgn100_seed0,0.0001,0.1,128,100
80,c080_lr0p0001_wd0p1_dim128_tgn128_seed0,0.0001,0.1,128,128
